condition,condition_group,age_group,year,month,condition_n,condition_group_n,age_group_n,group_by_organ,COVID_deaths_rate,NON_COVID_deaths_rate_Female,NON_COVID_deaths_rate_male,NON_COVID_death_rate,Total_death,COVID_propotion
"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",35-44,2020,1,6,13,3,7,0,0,0,0,0,0%
"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",45-54,2020,1,6,13,4,7,0,0,0,0,0,0%
"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",55-64,2020,1,6,13,5,7,0,0,0,0,0,0%
"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",65-74,2020,1,6,13,6,7,0,0,0,0,0,0%
"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",75-84,2020,1,6,13,7,7,0,0,0,0,0,0%
"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",85+,2020,1,6,13,8,7,0,0,0,0,0,0%
Malignant neoplasms,Malignant neoplasms,0-24,2020,1,7,15,1,7,0,98,105,203,203,0%
Malignant neoplasms,Malignant neoplasms,25-34,2020,1,7,15,2,7,0,178,143,321,321,0%
Malignant neoplasms,Malignant neoplasms,35-44,2020,1,7,15,3,7,0,490,439,929,929,0%
Malignant neoplasms,Malignant neoplasms,45-54,2020,1,7,15,4,7,0,1612,1428,3040,3040,0%
Malignant neoplasms,Malignant neoplasms,55-64,2020,1,7,15,5,7,0,4474,5218,9692,9692,0%
Malignant neoplasms,Malignant neoplasms,65-74,2020,1,7,15,6,7,0,6793,8426,15219,15219,0%
Malignant neoplasms,Malignant neoplasms,75-84,2020,1,7,15,7,7,0,6537,7537,14074,14074,0%
Malignant neoplasms,Malignant neoplasms,85+,2020,1,7,15,8,7,0,4715,4439,9154,9154,0%
Obesity,Obesity,0-24,2020,1,8,16,1,6,0,0,0,0,0,0%
Obesity,Obesity,25-34,2020,1,8,16,2,6,0,0,0,0,0,0%
Obesity,Obesity,35-44,2020,1,8,16,3,6,0,0,0,0,0,0%
Obesity,Obesity,45-54,2020,1,8,16,4,6,0,0,0,0,0,0%
Obesity,Obesity,55-64,2020,1,8,16,5,6,0,0,0,0,0,0%
Obesity,Obesity,65-74,2020,1,8,16,6,6,0,0,0,0,0,0%
Obesity,Obesity,75-84,2020,1,8,16,7,6,0,0,0,0,0,0%
Obesity,Obesity,85+,2020,1,8,16,8,6,0,0,0,0,0,0%
Renal failure,Renal failure,0-24,2020,1,9,19,1,7,0,5,5,10,10,0%
Renal failure,Renal failure,25-34,2020,1,9,19,2,7,0,11,14,25,25,0%
Renal failure,Renal failure,35-44,2020,1,9,19,3,7,0,24,35,59,59,0%
Renal failure,Renal failure,45-54,2020,1,9,19,4,7,0,69,132,201,201,0%
Renal failure,Renal failure,55-64,2020,1,9,19,5,7,0,234,326,560,560,0%
Renal failure,Renal failure,65-74,2020,1,9,19,6,7,0,481,574,1055,1055,0%
Renal failure,Renal failure,75-84,2020,1,9,19,7,7,0,677,731,1408,1408,0%
Renal failure,Renal failure,85+,2020,1,9,19,8,7,0,852,716,1568,1568,0%
Respiratory diseases,Adult respiratory distress syndrome,0-24,2020,1,10,1,1,1,0,0,0,0,0,0%
Respiratory diseases,Adult respiratory distress syndrome,25-34,2020,1,10,1,2,1,0,0,0,0,0,0%
Respiratory diseases,Adult respiratory distress syndrome,35-44,2020,1,10,1,3,1,0,0,0,0,0,0%
Respiratory diseases,Adult respiratory distress syndrome,45-54,2020,1,10,1,4,1,0,0,0,0,0,0%
Respiratory diseases,Adult respiratory distress syndrome,55-64,2020,1,10,1,5,1,0,0,0,0,0,0%
Respiratory diseases,Adult respiratory distress syndrome,65-74,2020,1,10,1,6,1,0,0,0,0,0,0%
Respiratory diseases,Adult respiratory distress syndrome,75-84,2020,1,10,1,7,1,0,0,0,0,0,0%
Respiratory diseases,Adult respiratory distress syndrome,85+,2020,1,10,1,8,1,0,0,0,0,0,0%
Respiratory diseases,Chronic lower respiratory diseases,0-24,2020,1,10,7,1,1,0,9,14,23,23,0%
Respiratory diseases,Chronic lower respiratory diseases,25-34,2020,1,10,7,2,1,0,14,17,31,31,0%
Respiratory diseases,Chronic lower respiratory diseases,35-44,2020,1,10,7,3,1,0,42,28,70,70,0%
Respiratory diseases,Chronic lower respiratory diseases,45-54,2020,1,10,7,4,1,0,164,137,301,301,0%
Respiratory diseases,Chronic lower respiratory diseases,55-64,2020,1,10,7,5,1,0,886,877,1763,1763,0%
Respiratory diseases,Chronic lower respiratory diseases,65-74,2020,1,10,7,6,1,0,1922,2012,3934,3934,0%
Respiratory diseases,Chronic lower respiratory diseases,75-84,2020,1,10,7,7,1,0,2659,2436,5095,5095,0%
Respiratory diseases,Chronic lower respiratory diseases,85+,2020,1,10,7,8,1,0,2571,1747,4318,4318,0%
Respiratory diseases,Influenza and pneumonia,0-24,2020,1,10,12,1,1,0,54,73,127,127,0%
Respiratory diseases,Influenza and pneumonia,25-34,2020,1,10,12,2,1,0,56,62,118,118,0%
Respiratory diseases,Influenza and pneumonia,35-44,2020,1,10,12,3,1,0,103,94,197,197,0%
Respiratory diseases,Influenza and pneumonia,45-54,2020,1,10,12,4,1,0,168,192,360,360,0%
Respiratory diseases,Influenza and pneumonia,55-64,2020,1,10,12,5,1,0,355,433,788,788,0%
Respiratory diseases,Influenza and pneumonia,65-74,2020,1,10,12,6,1,0,544,641,1185,1185,0%
Respiratory diseases,Influenza and pneumonia,75-84,2020,1,10,12,7,1,0,755,843,1598,1598,0%
Respiratory diseases,Influenza and pneumonia,85+,2020,1,10,12,8,1,0,1346,936,2282,2282,0%
Respiratory diseases,Other diseases of the respiratory system,0-24,2020,1,10,18,1,1,0,17,26,43,43,0%
Respiratory diseases,Other diseases of the respiratory system,25-34,2020,1,10,18,2,1,0,11,11,22,22,0%
Respiratory diseases,Other diseases of the respiratory system,35-44,2020,1,10,18,3,1,0,24,30,54,54,0%
Respiratory diseases,Other diseases of the respiratory system,45-54,2020,1,10,18,4,1,0,68,69,137,137,0%
Respiratory diseases,Other diseases of the respiratory system,55-64,2020,1,10,18,5,1,0,209,275,484,484,0%
Respiratory diseases,Other diseases of the respiratory system,65-74,2020,1,10,18,6,1,0,491,559,1050,1050,0%
Respiratory diseases,Other diseases of the respiratory system,75-84,2020,1,10,18,7,1,0,631,767,1398,1398,0%
Respiratory diseases,Other diseases of the respiratory system,85+,2020,1,10,18,8,1,0,726,583,1309,1309,0%
Respiratory diseases,Respiratory arrest,0-24,2020,1,10,20,1,4,0,0,0,0,0,0%
Respiratory diseases,Respiratory arrest,25-34,2020,1,10,20,2,4,0,0,0,0,0,0%
Respiratory diseases,Respiratory arrest,35-44,2020,1,10,20,3,4,0,0,0,0,0,0%
Respiratory diseases,Respiratory arrest,45-54,2020,1,10,20,4,4,0,0,0,0,0,0%
Respiratory diseases,Respiratory arrest,55-64,2020,1,10,20,5,4,0,0,0,0,0,0%
Respiratory diseases,Respiratory arrest,65-74,2020,1,10,20,6,4,0,0,0,0,0,0%
Respiratory diseases,Respiratory arrest,75-84,2020,1,10,20,7,4,0,0,0,0,0,0%
Respiratory diseases,Respiratory arrest,85+,2020,1,10,20,8,4,0,0,0,0,0,0%
Respiratory diseases,Respiratory failure,0-24,2020,1,10,21,1,1,0,0,0,0,0,0%
Respiratory diseases,Respiratory failure,25-34,2020,1,10,21,2,1,0,0,0,0,0,0%
Respiratory diseases,Respiratory failure,35-44,2020,1,10,21,3,1,0,0,0,0,0,0%
Respiratory diseases,Respiratory failure,45-54,2020,1,10,21,4,1,0,0,0,0,0,0%
Respiratory diseases,Respiratory failure,55-64,2020,1,10,21,5,1,0,0,0,0,0,0%
Respiratory diseases,Respiratory failure,65-74,2020,1,10,21,6,1,0,0,0,0,0,0%
Respiratory diseases,Respiratory failure,75-84,2020,1,10,21,7,1,0,0,0,0,0,0%
Respiratory diseases,Respiratory failure,85+,2020,1,10,21,8,1,0,0,0,0,0,0%
Sepsis,Sepsis,0-24,2020,1,11,22,1,2,0,15,20,35,35,0%
Sepsis,Sepsis,25-34,2020,1,11,22,2,2,0,18,14,32,32,0%
Sepsis,Sepsis,35-44,2020,1,11,22,3,2,0,34,52,86,86,0%
Sepsis,Sepsis,45-54,2020,1,11,22,4,2,0,87,117,204,204,0%
Sepsis,Sepsis,55-64,2020,1,11,22,5,2,0,260,311,571,571,0%
Sepsis,Sepsis,65-74,2020,1,11,22,6,2,0,409,428,837,837,0%
Sepsis,Sepsis,75-84,2020,1,11,22,7,2,0,472,509,981,981,0%
Sepsis,Sepsis,85+,2020,1,11,22,8,2,0,555,386,941,941,0%
Vascular and unspecified dementia,Vascular and unspecified dementia,0-24,2020,1,12,23,1,4,0,0,0,0,0,0%
Vascular and unspecified dementia,Vascular and unspecified dementia,25-34,2020,1,12,23,2,4,0,0,0,0,0,0%
Vascular and unspecified dementia,Vascular and unspecified dementia,35-44,2020,1,12,23,3,4,0,0,0,0,0,0%
Vascular and unspecified dementia,Vascular and unspecified dementia,45-54,2020,1,12,23,4,4,0,0,0,0,0,0%
Vascular and unspecified dementia,Vascular and unspecified dementia,55-64,2020,1,12,23,5,4,0,0,0,0,0,0%
Vascular and unspecified dementia,Vascular and unspecified dementia,65-74,2020,1,12,23,6,4,0,0,0,0,0,0%
Vascular and unspecified dementia,Vascular and unspecified dementia,75-84,2020,1,12,23,7,4,0,0,0,0,0,0%
Vascular and unspecified dementia,Vascular and unspecified dementia,85+,2020,1,12,23,8,4,0,0,0,0,0,0%
All other conditions and causes (residual),All other conditions and causes (residual),0-24,2020,2,1,2,1,7,0,113,157,270,270,0%
All other conditions and causes (residual),All other conditions and causes (residual),25-34,2020,2,1,2,2,7,0,18,60,78,78,0%
All other conditions and causes (residual),All other conditions and causes (residual),35-44,2020,2,1,2,3,7,0,45,52,97,97,0%
All other conditions and causes (residual),All other conditions and causes (residual),45-54,2020,2,1,2,4,7,0,46,78,124,124,0%
All other conditions and causes (residual),All other conditions and causes (residual),55-64,2020,2,1,2,5,7,0,98,143,241,241,0%
All other conditions and causes (residual),All other conditions and causes (residual),65-74,2020,2,1,2,6,7,0,147,231,378,378,0%
All other conditions and causes (residual),All other conditions and causes (residual),75-84,2020,2,1,2,7,7,0,265,232,497,497,0%
All other conditions and causes (residual),All other conditions and causes (residual),85+,2020,2,1,2,8,7,0,634,298,932,932,0%
Alzheimer disease,Alzheimer disease,0-24,2020,2,2,3,1,3,0,0,0,0,0,0%
Alzheimer disease,Alzheimer disease,25-34,2020,2,2,3,2,3,0,0,0,0,0,0%
Alzheimer disease,Alzheimer disease,35-44,2020,2,2,3,3,3,0,0,0,0,0,0%
Alzheimer disease,Alzheimer disease,45-54,2020,2,2,3,4,3,0,6,1,7,7,0%
Alzheimer disease,Alzheimer disease,55-64,2020,2,2,3,5,3,0,73,44,117,117,0%
Alzheimer disease,Alzheimer disease,65-74,2020,2,2,3,6,3,0,414,282,696,696,0%
Alzheimer disease,Alzheimer disease,75-84,2020,2,2,3,7,3,0,1805,1087,2892,2892,0%
Alzheimer disease,Alzheimer disease,85+,2020,2,2,3,8,3,0,4990,1742,6732,6732,0%
Circulatory diseases,Cardiac arrest,0-24,2020,2,3,4,1,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrest,25-34,2020,2,3,4,2,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrest,35-44,2020,2,3,4,3,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrest,45-54,2020,2,3,4,4,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrest,55-64,2020,2,3,4,5,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrest,65-74,2020,2,3,4,6,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrest,75-84,2020,2,3,4,7,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrest,85+,2020,2,3,4,8,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrhythmia,0-24,2020,2,3,5,1,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrhythmia,25-34,2020,2,3,5,2,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrhythmia,35-44,2020,2,3,5,3,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrhythmia,45-54,2020,2,3,5,4,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrhythmia,55-64,2020,2,3,5,5,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrhythmia,65-74,2020,2,3,5,6,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrhythmia,75-84,2020,2,3,5,7,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrhythmia,85+,2020,2,3,5,8,4,0,0,0,0,0,0%
Circulatory diseases,Cerebrovascular diseases,0-24,2020,2,3,6,1,4,0,21,18,39,39,0%
Circulatory diseases,Cerebrovascular diseases,25-34,2020,2,3,6,2,4,0,18,16,34,34,0%
Circulatory diseases,Cerebrovascular diseases,35-44,2020,2,3,6,3,4,0,56,96,152,152,0%
Circulatory diseases,Cerebrovascular diseases,45-54,2020,2,3,6,4,4,0,185,257,442,442,0%
Circulatory diseases,Cerebrovascular diseases,55-64,2020,2,3,6,5,4,0,463,656,1119,1119,0%
Circulatory diseases,Cerebrovascular diseases,65-74,2020,2,3,6,6,4,0,960,1096,2056,2056,0%
Circulatory diseases,Cerebrovascular diseases,75-84,2020,2,3,6,7,4,0,1847,1637,3484,3484,0%
Circulatory diseases,Cerebrovascular diseases,85+,2020,2,3,6,8,4,0,3687,1805,5492,5492,0%
Circulatory diseases,Heart failure,0-24,2020,2,3,10,1,4,0,53,69,122,122,0%
Circulatory diseases,Heart failure,25-34,2020,2,3,10,2,4,0,96,183,279,279,0%
Circulatory diseases,Heart failure,35-44,2020,2,3,10,3,4,0,267,588,855,855,0%
Circulatory diseases,Heart failure,45-54,2020,2,3,10,4,4,0,757,1843,2600,2600,0%
Circulatory diseases,Heart failure,55-64,2020,2,3,10,5,4,0,2120,4810,6930,6930,0%
Circulatory diseases,Heart failure,65-74,2020,2,3,10,6,4,0,3922,6940,10862,10862,0%
Circulatory diseases,Heart failure,75-84,2020,2,3,10,7,4,0,6077,7645,13722,13722,0%
Circulatory diseases,Heart failure,85+,2020,2,3,10,8,4,0,12590,8879,21469,21469,0%
Circulatory diseases,Hypertensive diseases,0-24,2020,2,3,11,1,2,0,0,0,0,0,0%
Circulatory diseases,Hypertensive diseases,25-34,2020,2,3,11,2,2,0,0,0,0,0,0%
Circulatory diseases,Hypertensive diseases,35-44,2020,2,3,11,3,2,0,0,0,0,0,0%
Circulatory diseases,Hypertensive diseases,45-54,2020,2,3,11,4,2,0,0,0,0,0,0%
Circulatory diseases,Hypertensive diseases,55-64,2020,2,3,11,5,2,0,0,0,0,0,0%
Circulatory diseases,Hypertensive diseases,65-74,2020,2,3,11,6,2,0,0,0,0,0,0%
Circulatory diseases,Hypertensive diseases,75-84,2020,2,3,11,7,2,0,0,0,0,0,0%
Circulatory diseases,Hypertensive diseases,85+,2020,2,3,11,8,2,0,0,0,0,0,0%
Circulatory diseases,Ischemic heart disease,0-24,2020,2,3,14,1,4,0,0,0,0,0,0%
Circulatory diseases,Ischemic heart disease,25-34,2020,2,3,14,2,4,0,0,0,0,0,0%
Circulatory diseases,Ischemic heart disease,35-44,2020,2,3,14,3,4,0,0,0,0,0,0%
Circulatory diseases,Ischemic heart disease,45-54,2020,2,3,14,4,4,0,0,0,0,0,0%
Circulatory diseases,Ischemic heart disease,55-64,2020,2,3,14,5,4,0,0,0,0,0,0%
Circulatory diseases,Ischemic heart disease,65-74,2020,2,3,14,6,4,0,0,0,0,0,0%
Circulatory diseases,Ischemic heart disease,75-84,2020,2,3,14,7,4,0,0,0,0,0,0%
Circulatory diseases,Ischemic heart disease,85+,2020,2,3,14,8,4,0,0,0,0,0,0%
Circulatory diseases,Other diseases of the circulatory system,0-24,2020,2,3,17,1,2,0,0,0,0,0,0%
Circulatory diseases,Other diseases of the circulatory system,25-34,2020,2,3,17,2,2,0,0,0,0,0,0%
Circulatory diseases,Other diseases of the circulatory system,35-44,2020,2,3,17,3,2,0,0,0,0,0,0%
Circulatory diseases,Other diseases of the circulatory system,45-54,2020,2,3,17,4,2,0,0,0,0,0,0%
Circulatory diseases,Other diseases of the circulatory system,55-64,2020,2,3,17,5,2,0,0,0,0,0,0%
Circulatory diseases,Other diseases of the circulatory system,65-74,2020,2,3,17,6,2,0,0,0,0,0,0%
Circulatory diseases,Other diseases of the circulatory system,75-84,2020,2,3,17,7,2,0,0,0,0,0,0%
Circulatory diseases,Other diseases of the circulatory system,85+,2020,2,3,17,8,2,0,0,0,0,0,0%
COVID-19,COVID-19,0-24,2020,2,4,8,1,2,0,1192,1445,2637,2637,0%
COVID-19,COVID-19,25-34,2020,2,4,8,2,2,0,758,991,1749,1749,0%
COVID-19,COVID-19,35-44,2020,2,4,8,3,2,0,1689,2270,3959,3959,0%
COVID-19,COVID-19,45-54,2020,2,4,8,4,2,0,4366,6097,10463,10463,0%
COVID-19,COVID-19,55-64,2020,2,4,8,5,2,0,11740,17275,29015,29015,0%
COVID-19,COVID-19,65-74,2020,2,4,8,6,2,0,19915,26235,46150,46150,0%
COVID-19,COVID-19,75-84,2020,2,4,8,7,2,0,28268,29521,57789,57789,0%
COVID-19,COVID-19,85+,2020,2,4,8,8,2,0,44391,28179,72570,72570,0%
Diabetes,Diabetes,0-24,2020,2,5,9,1,5,0,15,14,29,29,0%
Diabetes,Diabetes,25-34,2020,2,5,9,2,5,0,30,58,88,88,0%
Diabetes,Diabetes,35-44,2020,2,5,9,3,5,0,59,122,181,181,0%
Diabetes,Diabetes,45-54,2020,2,5,9,4,5,0,199,362,561,561,0%
Diabetes,Diabetes,55-64,2020,2,5,9,5,5,0,524,917,1441,1441,0%
Diabetes,Diabetes,65-74,2020,2,5,9,6,5,0,847,1205,2052,2052,0%
Diabetes,Diabetes,75-84,2020,2,5,9,7,5,0,862,1054,1916,1916,0%
Diabetes,Diabetes,85+,2020,2,5,9,8,5,0,808,689,1497,1497,0%
"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",0-24,2020,2,6,13,1,6,0,0,0,0,0,0%
"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",25-34,2020,2,6,13,2,6,0,0,0,0,0,0%
